id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
L1,"Ampère","Jeanne-Antoinette (mère d'Ampère)","Ampère","André-Marie",1775-01-01,"s.d.","","","Fonds André-Marie Ampère chemise 332, Archives de l'Académie des sciences, Paris","fra","","L1.xml"
L2,"Maine de Biran","Pierre","Ampère","André-Marie",1807-03-15,"15 mars 1807","","","Fonds André-Marie Ampère chemise 261, Archives de l'Académie des sciences, Paris","fra","","L2.xml"
L3,"Ampère","André-Marie","Ampère","Jean-Jacques (fils d'Ampère)",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1936), p. 573.","fra","","L3.xml"
L4,"Ampère","André-Marie","Duhamel","Jean-Marie",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1936), p. 681.","fra","","L4.xml"
L5,"Ampère","André-Marie","Duhamel","Jean-Marie",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1936), p. 684.","fra","","L5.xml"
L6,"Ampère","André-Marie","Bredin","Claude-Julien",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1943), p. 883.","fra","","L6.xml"
L7,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1775-01-01,"s.d.","","","Fonds André-Marie Ampère chemise 392, Archives de l'Académie des sciences, Paris","fra","","L7.xml"
L8,"Ampère","Jeanne-Antoinette (mère d'Ampère)","Ampère","André-Marie",1775-01-01,"s.d.","","","Fonds André-Marie Ampère chemise 332, Archives de l'Académie des sciences, Paris","fra","","L8.xml"
L9,"Ampère","André-Marie","Duhamel","Jean-Marie",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1936), p. 680-681.","fra","","L9.xml"
L10,"Ampère","André-Marie","Ampère","Jean-Jacques (fils d'Ampère)",1827-07-16,"16 juillet 1827","","","Fonds André-Marie Ampère chemise 379, Archives de l'Académie des sciences, Paris","fra","","L10.xml"
L11,"Ampère","André-Marie","Ampère","Jean-Jacques (fils d'Ampère)",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1936), p. 722-723.","fra","","L11.xml"
L12,"Ampère","André-Marie","Ballanche","Pierre-Simon",1775-01-01,"s.d.","","","Fonds André-Marie Ampère chemise 379, Archives de l'Académie des sciences, Paris","fra","","L12.xml"
L13,"Ampère","André-Marie","Carron","François (frère de Julie)",1801-03-01,"mars 1801","","","Correspondance du Grand Ampère (Paris: 1943), p. 837-838.","fra","","L13.xml"
L14,"Ampère","André-Marie","Brongniart","Alexandre",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1943), p. 875-876.","fra","","L14.xml"
L15,"Ampère","André-Marie","Stassart","Gosvin de (baron)",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1943), p. 877-878.","fra","","L15.xml"
L16,"Ampère","André-Marie","Bredin","Claude-Julien",1775-01-01,"s.d.","","","Correspondance du Grand Ampère (Paris: 1943), p. 892-893.","fra","","L16.xml"
L17,"Faraday","Michael","Ampère","André-Marie",1822-02-02,"2 février 1822","","","Correspondance du Grand Ampère (Paris: 1943), p. 908-914.","fra","","L17.xml"
L18,"Ampère","André-Marie","Hubert de Saint-Didier","Balthazar",1797-01-01,"1797","","","Correspondance du Grand Ampère (Paris: 1943), p. 831-832.","fra","","L18.xml"
L19,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1799-10-01,"octobre 1799","","","Fonds André-Marie Ampère chemise 331, Archives de l'Académie des sciences, Paris","fra","","L19.xml"
L20,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1799-03-03,"3 mars 1799","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L20.xml"
L21,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1799-03-05,"5 mars 1799","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L21.xml"
L22,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1799-03-08,"8 mars 1799","","","Fonds André-Marie Ampère chemise 332, Archives de l'Académie des sciences, Paris","fra","","L22.xml"
L23,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1799-03-09,"9 mars 1799","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L23.xml"
L24,"Ampère","André-Marie","Carron","Antoinette (mère de Julie)",1799-03-10,"10 mars 1799","","","Fonds André-Marie Ampère chemise 370, Archives de l'Académie des sciences, Paris","fra","","L24.xml"
L25,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1799-03-12,"12 mars 1799","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L25.xml"
L26,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1799-11-30,"30 novembre 1799","","","Fonds André-Marie Ampère chemise 331, Archives de l'Académie des sciences, Paris","fra","","L26.xml"
L27,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1800-01-01,"1800","","","Fonds André-Marie Ampère chemise 331, Archives de l'Académie des sciences, Paris","fra","","L27.xml"
L28,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-01-01,"1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L28.xml"
L29,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-04-01,"avril 1800","","","Correspondance du Grand Ampère (Paris: 1943), p. 832-833.","fra","","L29.xml"
L30,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-04-15,"15 avril 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L30.xml"
L31,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-04-22,"22 avril 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L31.xml"
L32,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-04-23,"23 avril 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L32.xml"
L33,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-05-01,"mai 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L33.xml"
L34,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1800-05-02,"2 mai 1800","","","Fonds André-Marie Ampère chemise 331, Archives de l'Académie des sciences, Paris","fra","","L34.xml"
L35,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-05-02,"2 mai 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L35.xml"
L36,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1800-06-01,"juin 1800","","","Fonds André-Marie Ampère chemise 331, Archives de l'Académie des sciences, Paris","fra","","L36.xml"
L37,"Ampère","André-Marie","Carron","François (frère de Julie)",1800-07-12,"12 juillet 1800","","","Correspondance du Grand Ampère (Paris: 1943), p. 833-834.","fra","","L37.xml"
L38,"Ampère","André-Marie","Carron","François (frère deJulie)",1800-08-14,"14 août 1800","","","Correspondance du Grand Ampère (Paris: 1943), p. 834-835.","fra","","L38.xml"
L39,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-09-01,"septembre 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L39.xml"
L40,"Carron-Ampère","Julie (1ère femme d'Ampère)","Ampère","André-Marie",1800-09-01,"septembre 1800","","","Fonds André-Marie Ampère chemise 331, Archives de l'Académie des sciences, Paris","fra","","L40.xml"
L41,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-10-01,"octobre 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L41.xml"
L42,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-10-01,"octobre 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L42.xml"
L43,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-10-16,"16 octobre 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L43.xml"
L44,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-10-21,"21 octobre 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L44.xml"
L45,"Ampère","André-Marie","Carron-Ampère","Julie (1ère femme d'Ampère)",1800-10-23,"23 octobre 1800","","","Fonds André-Marie Ampère chemise 393 quarto, Archives de l'Académie des sciences, Paris","fra","","L45.xml"
