id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
FL-0001,"Darwin","G. H.","Darwin","Emma",1868-03-01,"[late March 1868]","","","DAR 210.2: 4","","","FL-0001.xml"
FL-0002,"Darwin","G. H.","Darwin","H. E.",1869-04-13,"[probably 13 April 1869]","84. Chps. Elysées","","DAR 210.2: 9","","","FL-0002.xml"
FL-0003,"Darwin","G. H.","Darwin","H. E.",1873-01-25,"25 January 1873","Hotel de Provence | Cannes","","DAR 210.2: 24","","","FL-0003.xml"
FL-0004,"Darwin","G. H.","Darwin","Emma",1873-02-27,"27 February [1873]","Hotel de Provence, Cannes","","DAR 210.2: 25","","","FL-0004.xml"
FL-0005,"Darwin","G. H.","Darwin","Emma",1873-03-03,"3 March 1873","Hotel de Provence | Cannes","","DAR 210.2: 26","","","FL-0005.xml"
FL-0006,"Darwin","G. H.","Darwin","Emma",1873-03-06,"[6? March 1873]","Cannes","","DAR 210.2: 27","","","FL-0006.xml"
FL-0007,"Darwin","G. H.","Darwin","Emma",1873-11-30,"[late November 1873?]","","","DAR 210.2: 31","","","FL-0007.xml"
FL-0008,"Dew-Smith","A. G.","Darwin","G. H.",1877-11-30,"30 November 1877","Cambridge","","DAR 210.2: 64","","","FL-0008.xml"
FL-0009,"Darwin","Emma","Darwin","G. H.",1881-01-25,"25 January 1881","Down, Beckenham, Kent.","","DAR 210.3: 1","","","FL-0009.xml"
FL-0010,"Darwin","Emma","Darwin","G. H.",1881-01-31,"31 January 1881","Down, Beckenham, Kent","","DAR 210.3: 2","","","FL-0010.xml"
FL-0011,"Darwin","Emma","Darwin","G. H.",1881-02-08,"8 February 1881","Down Beckenham","","DAR 210.3: 3","","","FL-0011.xml"
FL-0012,"Darwin","Emma","Darwin","G. H.",1881-02-16,"16 February 1881","Down Wed.","","DAR 210.3: 4","","","FL-0012.xml"
FL-0013,"Darwin","Emma","Darwin","G. H.",1881-03-16,"16 March 1881","Down Beckenham","","DAR 210.3: 5","","","FL-0013.xml"
FL-0014,"Darwin","Emma","Darwin","G. H.",1881-03-23,"23 March 1881","Down Beckenham","","DAR 210.3: 6","","","FL-0014.xml"
FL-0015,"Darwin","Emma","Darwin","G. H.",1881-04-09,"[9 April 1881]","Down, Beckenham, Kent","","DAR 210.3: 7","","","FL-0015.xml"
FL-0016,"Darwin","Emma","Darwin","G. H.",1881-04-16,"[16 April 1881]","Down, Beckenham, Kent.","","DAR 210.3: 8","","","FL-0016.xml"
FL-0017,"Darwin","Emma","Darwin","G. H.",1881-11-26,"[26 November 1881]","Down, Beckenham, Kent.","","DAR 210.3: 9","","","FL-0017.xml"
FL-0018,"Darwin","Emma","Darwin","G.H.",1881-04-29,"[29 April 1881]","Down, Beckenham, Kent.","","DAR 210.3: 10","","","FL-0018.xml"
FL-0019,"Darwin","Emma","Darwin","G. H.",1881-05-23,"[23 May 1881]","","","DAR 210.3: 11","","","FL-0019.xml"
FL-0020,"Darwin","Emma","Darwin","G. H.",1881-05-25,"25 May 1881","Down, Beckenham, Kent.","","DAR 210.3: 12","","","FL-0020.xml"
FL-0021,"Darwin","Emma","Darwin","G. H.",1881-05-31,"[31 May 1881]","Down, Beckenham, Kent.","","DAR 210.3: 13","","","FL-0021.xml"
FL-0022,"Darwin","Emma","Darwin","G. H.",1881-06-04,"4 June 1881","Glenridding House | Patterdale, Penrith","","DAR 210.3: 14","","","FL-0022.xml"
FL-0023,"Darwin","Emma","Darwin","G. H.",1881-06-11,"[11 June 1881]","[Glenridding House, Patterdale, Penrith]","","DAR 210.3: 15","","","FL-0023.xml"
FL-0024,"Darwin","Emma","Darwin","G. H.",1881-07-11,"[11 July 1881]","Down, Beckenham, Kent","","DAR 210.3: 16","","","FL-0024.xml"
FL-0025,"Darwin","Emma","Darwin","G. H.",1881-07-22,"[22 July 1881]","Down, Beckenham, Kent.","","DAR 210.3: 17","","","FL-0025.xml"
FL-0026,"Darwin","Emma","Darwin","G. H.",1881-07-27,"27 July [1881]","Down, Beckenham, Kent","","DAR 210.3: 18","","","FL-0026.xml"
FL-0027,"Darwin","Emma","Darwin","G. H.",1881-08-18,"[18 August 1881]","Down, Beckenham, Kent.","","DAR 210.3: 19","","","FL-0027.xml"
FL-0028,"Darwin","Emma","Darwin","G. H.",1881-08-24,"[24 August 1881]","Down, Beckenham, Kent.","","DAR 210.3: 20","","","FL-0028.xml"
FL-0029,"Darwin","Emma","Darwin","G. H.",1881-09-24,"[24 September 1881]","","","DAR 210.3: 21","","","FL-0029.xml"
FL-0030,"Darwin","Emma","Darwin","G. H.",1881-09-28,"28 September [1881]","Down, Beckenham, Kent.","","DAR 210.3: 22","","","FL-0030.xml"
FL-0031,"Darwin","W. E.","Darwin","Sara",1881-10-01,"[c. 1 October 1881]","","","DAR 210.3: 23","","","FL-0031.xml"
FL-0033,"Darwin","Emma","Darwin","G. H.",1881-10-11,"[11 October 1881]","Down, Beckenham, Kent.","","DAR 210.3: 25","","","FL-0033.xml"
FL-0034,"Darwin","Emma","Darwin","G. H.",1881-10-07,"[7 or 11 October 1881]","","","DAR 210.3: 26","","","FL-0034.xml"
FL-0035,"Darwin","Emma","Darwin","W. E.",1881-11-02,"[2 November 1881]","","","DAR 210.3: 27, 28","","","FL-0035.xml"
FL-0036,"Darwin","Emma","Darwin","G. H.",1881-11-07,"[7 November 1881]","","","DAR 210.3: 29","","","FL-0036.xml"
FL-0037,"Darwin","Emma","Darwin","G. H.",1881-11-07,"[after 7 November 1881?]","","","DAR 210.3: 30","","","FL-0037.xml"
FL-0038,"Darwin","Emma","Darwin","G. H.",1881-11-16,"[16 November 1881]","Down, Beckenham, Kent.","","DAR 210.3: 31","","","FL-0038.xml"
FL-0039,"Darwin","Emma","Darwin","G. H.",1881-11-28,"[28 November 1881]","","","DAR 210.3: 32","","","FL-0039.xml"
FL-0040,"Darwin","Emma","Darwin","G. H.",1881-12-15,"15 December 1881","Down, Beckenham, Kent.","","DAR 210.3: 33","","","FL-0040.xml"
FL-0041,"Darwin","Emma","Darwin","G. H.",1881-11-30,"[30? November 1881]","","","DAR 210.3: 34","","","FL-0041.xml"
FL-0042,"Darwin","Emma","Darwin","G. H.",1882-01-04,"[4 January 1882]","Down","","DAR 210.3: 35","","","FL-0042.xml"
FL-0043,"Darwin","Emma","Darwin","G. H.",1882-01-13,"[13 January 1882]","Down, Beckenham, Kent.","","DAR 210.3: 36","","","FL-0043.xml"
FL-0044,"Darwin","Emma","Darwin","G. H.",1882-01-19,"[19 January 1882]","Down, Beckenham, Kent.","","DAR 210.3: 37","","","FL-0044.xml"
FL-0045,"Darwin","Emma","Darwin","G. H.",1882-02-06,"6 February 1882","Down, Beckenham, Kent.","","DAR 210.3: 38","","","FL-0045.xml"
FL-0046,"Darwin","Emma","Darwin","G. H.",1882-02-10,"10 February [1882]","Down Beckenham","","DAR 210.3: 39","","","FL-0046.xml"
FL-0047,"Darwin","Emma","Darwin","G. H.",1882-02-20,"20 February 1882","Down, Beckenham","","DAR 210.3: 40","","","FL-0047.xml"
FL-0048,"Darwin","Emma","Darwin","G. H.",1882-02-28,"28 February 1882","Down, Beckenham, Kent.","","DAR 210.3: 41","","","FL-0048.xml"
FL-0049,"Darwin","Emma","Darwin","G. H.",1882-03-05,"5 March 1882","Down, Beckenham, Kent.","","DAR 210.3: 42","","","FL-0049.xml"
