id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
Faraday0001,"Faraday","Michael","Huxtable","T.",1811-01-01,"c1811","","","Bence Jones (1870a), 1: 13-14","","","Faraday0001.xml"
Faraday0002,"Faraday","Michael","Banks","Joseph",1812-01-01,"1812","","","Gladstone (1875), 35","","","Faraday0002.xml"
Faraday0003,"Faraday","Michael","Abbott","Benjamin",1812-07-12,"12 and 13 July 1812","","","IEE MS SC 123","","","Faraday0003.xml"
Faraday0004,"Faraday","Michael","Abbott","Benjamin",1812-07-20,"20, 21 and 22 July 1812","","","IEE MS SC 123","","","Faraday0004.xml"
Faraday0005,"Faraday","Michael","Abbott","Benjamin",1812-08-02,"2 and 3 August 1812","","","IEE MS SC 123","","","Faraday0005.xml"
Faraday0006,"Faraday","Michael","Abbott","Benjamin",1812-08-08,"8 August 1812","","","IEE MS SC 123","","","Faraday0006.xml"
Faraday0007,"Faraday","Michael","Abbott","Benjamin",1812-08-11,"11 August 1812","","","IEE MS SC 123","","","Faraday0007.xml"
Faraday0008,"Faraday","Michael","Abbott","Benjamin",1812-08-19,"19 August 1812","","","IEE MS SC 123","","","Faraday0008.xml"
Faraday0009,"Faraday","Michael","Abbott","Benjamin",1812-09-01,"1, 2 and 4 September 1812","","","IEE MS SC 123","","","Faraday0009.xml"
Faraday0010,"Faraday","Michael","Abbott","Benjamin",1812-09-09,"9 and 11 Sept 1812","","","IEE MS SC 123","","","Faraday0010.xml"
Faraday0011,"Faraday","Michael","Abbott","Benjamin",1812-09-20,"20 September 1812","","","IEE MS SC 123","","","Faraday0011.xml"
Faraday0012,"Faraday","Michael","Abbott","Benjamin",1812-09-28,"28 September 1812","","","IEE MS SC 123","","","Faraday0012.xml"
Faraday0013,"Faraday","Michael","Abbott","Benjamin",1812-10-01,"1 October 1812","","","IEE MS SC 123","","","Faraday0013.xml"
Faraday0014,"Faraday","Michael","Abbott","Benjamin",1812-10-11,"11 October 1812","","","IEE MS SC 123","","","Faraday0014.xml"
Faraday0015,"Faraday","Michael","Huxtable","T.",1812-10-18,"18 October 1812","","","Bence Jones (1870a), 1: 51-3.","","","Faraday0015.xml"
Faraday0016,"Faraday","Michael","Abbott","Benjamin",1812-12-07,"7 December 1812","","","IEE MS SC 123","","","Faraday0016.xml"
Faraday0017,"Davy","Humphry","Faraday","Michael",1812-12-24,"24 December 1812","","","RI MS F8, 264","","","Faraday0017.xml"
Faraday0018,"Faraday","Michael","Abbott","Benjamin",1813-03-08,"8 March 1813","","","IEE MS SC 123","","","Faraday0018.xml"
Faraday0019,"Faraday","Michael","Abbott","Benjamin",1813-04-05,"5 April 1813","","","IEE MS SC 123","","","Faraday0019.xml"
Faraday0020,"Faraday","Michael","Abbott","Benjamin",1812-04-08,"8 April 1813 (Thursday)","","","IEE MS SC 123","","","Faraday0020.xml"
Faraday0021,"Faraday","Michael","Abbott","Benjamin",1813-05-12,"12 and 14 May 1813","","","IEE MS SC 123","","","Faraday0021.xml"
