id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
Herschel1,"Herschel","Sir John","Airy","George Biddell",1833-08-15,"[15 August 1833]","Slough","","RGO 6.157.162 (C: RS:HS 25.3.16)","","","Herschel1.xml"
Herschel2,"Herschel","Sir John","Airy","George Biddell",1833-08-27,"[27 August 1833]","Slough","","RGO 6.157.164","","","Herschel2.xml"
Herschel3,"Herschel","Sir John","Airy","George Biddell",1833-08-29,"[29 August 1833]","n.p.","","RGO 6.157.167","","","Herschel3.xml"
Herschel4,"Herschel","Sir John","Cauchoix","Robert A.",1833-09-01,"[1 September 1833]","Slough","","RGO 6.157.169 (C: RS:HS 25.3.17)","","","Herschel4.xml"
Herschel5,"Herschel","Sir John","Airy","George Biddell",1833-09-29,"[29 September 1833]","Slough","","RGO 6.157.171","","","Herschel5.xml"
Herschel6,"Herschel","Sir John","Airy","George Biddell",1833-10-03,"[3 October 1833]","n.p.","","RGO 6.157.173","","","Herschel6.xml"
Herschel7,"Airy","George Biddell","Herschel","Sir John",1847-05-15,"[15 May 1847]","Royal Observatory, Greenwich","","RGO 6.158.369","","","Herschel7.xml"
Herschel8,"Herschel","Sir John","Airy","George Biddell",1859-11-23,"[23 November 1859]","37 Tavistock Place","","RGO 6.170.195","","","Herschel8.xml"
Herschel9,"Airy","George Biddell","Herschel","Sir John",1848-09-25,"[25 September 1848]","n.p.","","RGO 6.159.171","","","Herschel9.xml"
Herschel10,"Herschel","Sir John","Airy","George Biddell",1848-05-06,"[6 May 1848]","Collingwood","","RGO 6.160.32","","","Herschel10.xml"
Herschel11,"Herschel","Sir John","Airy","George Biddell",1848-05-08,"[8 May 1848]","Collingwood","","RGO 6.160.34","","","Herschel11.xml"
Herschel12,"Herschel","Sir John","Airy","George Biddell",1849-03-08,"[8 March 1849]","Collingwood","","RGO 6.160.78","","","Herschel12.xml"
Herschel13,"Herschel","Sir John","Airy","George Biddell",1870-12-03,"[3 December 1870]","Collingwood","","RGO 6.382.356","","","Herschel13.xml"
Herschel14,"Airy","George Biddell","Herschel","Sir John",1870-12-03,"[3 December 1870]","n.p.","","RGO 6.382.357","","","Herschel14.xml"
Herschel15,"Herschel","Sir John","Airy","George Biddell",1792-03-07,"n.d.","n.p.","","RGO 6.381.440","","","Herschel15.xml"
Herschel16,"Herschel","Sir John","Airy","George Biddell",1866-02-27,"[27 February 1866]","Collingwood","","RGO 6.381.444","","","Herschel16.xml"
Herschel17,"Airy","George Biddell","Herschel","Sir John",1866-03-01,"[1 March 1866]","n.p.","","RGO 6.381.446","","","Herschel17.xml"
