id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
KEMP5,"Maclaren","Charles","Walker","Thomas",1840-03-30,"30 Mar 1840","","","Cambridge University Library (MS Add. 10252/1a)","","","KEMP5.xml"
KEMP6,"Darwin","C. R.","Kemp","William",1840-05-18,"1[8] May [1840]","","","Cambridge University Library (MS Add. 10252/2)","","","KEMP6.xml"
KEMP7,"Chambers","Robert","Kemp","William",1840-05-20,"20 May 1840","","","Cambridge University Library (MS Add. 10252/3)","","","KEMP7.xml"
KEMP9,"Chambers","Robert","Kemp","William",1840-06-04,"[before 4 June 1840]","","","Cambridge University Library (MS Add. 10252/4)","","","KEMP9.xml"
KEMP10,"Scott","H. C.","Kemp","William",1840-06-03,"3 Jun 1840","","","Cambridge University Library (MS Add. 10252/5)","","","KEMP10.xml"
KEMP11,"Lockhart","Robert","McGregor","James",1841-05-04,"4 May 1841","","","Cambridge University Library (MS Add. 10252/6)","","","KEMP11.xml"
KEMP12,"Thackery","J. I.","Kemp","John",1841-11-28,"28 Nov 1841 – c. 1842","","","Cambridge University Library (MS Add. 10252/7)","","","KEMP12.xml"
KEMP13,"Kenrick","G. S.","Kemp","William",1841-02-11,"11 Feb 1841","","","Cambridge University Library (MS Add. 10252/8)","","","KEMP13.xml"
KEMP14,"Oliver","William","Kemp","William",1842-08-31,"31 Aug 1842","","","Cambridge University Library (MS Add. 10252/9)","","","KEMP14.xml"
KEMP15,"Buckland","William","Kemp","William",1842-10-03,"3 Oct 1842","","","Cambridge University Library (MS Add. 10252/10)","","","KEMP15.xml"
KEMP16,"Johnston","Andrew","Kemp","William",1842-10-28,"28 Oct 1842","","","Cambridge University Library (MS Add. 10252/11)","","","KEMP16.xml"
KEMP17,"Younger","John","Kemp","William",1841-11-25,"25 Nov 1841","","","Cambridge University Library (MS Add. 10252/12)","","","KEMP17.xml"
