id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
LINNEAN1,"Abbot","Charles","Smith","Sir James Edward",1807-11-02,"2 Nov 1807","Bedford, Bedfordshire","","GB-110/JES/ADD/1, The Linnean Society of London","eng","","LINNEAN1.xml"
LINNEAN2,"Butt","John Martin","Smith","Sir James Edward",1798-09-17,"17 Sep 1798","Witley, Worcestershire","","GB-110/JES/ADD/10, The Linnean Society of London","eng","","LINNEAN2.xml"
LINNEAN3,"Strutt","Jacob George","Smith","Sir James Edward",1826-05-31,"31 May 1826","London","","GB-110/JES/ADD/100, The Linnean Society of London","eng","","LINNEAN3.xml"
LINNEAN4,"Swainson","William","Smith","Sir James Edward",1815-04-22,"22 Apr 1815","Palermo, Sicily","London","GB-110/JES/ADD/101, The Linnean Society of London","eng","","LINNEAN4.xml"
LINNEAN5,"Teesdale","Robert","Smith","Sir James Edward",1789-11-18,"18 Nov 1789","London","London","GB-110/JES/ADD/102, The Linnean Society of London","eng","","LINNEAN5.xml"
LINNEAN6,"Thunberg","Carl Peter","Smith","Sir James Edward",1792-06-26,"26 Jun 1792","Uppsala, Sweden","","GB-110/JES/ADD/103, The Linnean Society of London","fre","","LINNEAN6.xml"
LINNEAN7,"Titford","William Jowett","Smith","Sir James Edward",1812-07-30,"30 Jul 1812","London","","GB-110/JES/ADD/104, The Linnean Society of London","eng","","LINNEAN7.xml"
LINNEAN8,"Treschow","H","Smith","Sir James Edward",1794-07-08,"8 Jul 1794","Copenhagen, Denmark","","GB-110/JES/ADD/105, The Linnean Society of London","eng","","LINNEAN8.xml"
LINNEAN9,"Turner","Dawson","Smith","Sir James Edward",1806-02-17,"17 Feb 1806","Yarmouth, Norfolk","Norwich, Norfolk","GB-110/JES/ADD/106, The Linnean Society of London","eng","","LINNEAN9.xml"
LINNEAN10,"Camper","Petrus","Smith","Sir James Edward",1788-06-22,"[22 Jun 1788]","The Hague, Netherlands","London","GB-110/JES/ADD/107, The Linnean Society of London","eng","","LINNEAN10.xml"
LINNEAN11,"Ventenat","Étienne Pierre","Smith","Sir James Edward",1803-04-20,"[20 Apr 1803]","Paris, France","","GB-110/JES/ADD/108, The Linnean Society of London","fre","","LINNEAN11.xml"
LINNEAN12,"Walckenaer","Charles Athanase","Smith","Sir James Edward",1817-09-27,"27 Sep 1817","","","GB-110/JES/ADD/109, The Linnean Society of London","fre","","LINNEAN12.xml"
LINNEAN13,"Campbell","Charles","Smith","Sir James Edward",1807-06-14,"14 Jun 1807","Madagascar","","GB-110/JES/ADD/11, The Linnean Society of London","eng","","LINNEAN13.xml"
LINNEAN14,"Walford","Thomas","Smith","Sir James Edward",1794-05-30,"30 May 1794","Birdbrook, Essex","","GB-110/JES/ADD/110, The Linnean Society of London","eng","","LINNEAN14.xml"
LINNEAN15,"Watson","Peter William","Smith","Sir James Edward",1823-10-25,"25 Oct 1823","Cottingham, Yorkshire","","GB-110/JES/ADD/111, The Linnean Society of London","eng","","LINNEAN15.xml"
LINNEAN16,"Winch","Nathaniel John","Smith","Sir James Edward",1806-02-03,"3 Feb 1806","Newcastle, Northumberland","","GB-110/JES/ADD/112, The Linnean Society of London","eng","","LINNEAN16.xml"
LINNEAN17,"Wissett","Robert","Smith","Sir James Edward",1806-06-10,"10 Jun 1806","London","","GB-110/JES/ADD/113, The Linnean Society of London","eng","","LINNEAN17.xml"
LINNEAN18,"Withering","William","Smith","Sir James Edward",1804-05-16,"16 May 1804","Birmingham, Warwickshire","London","GB-110/JES/ADD/114, The Linnean Society of London","eng","","LINNEAN18.xml"
LINNEAN19,"Woodward","Thomas Jenkinson","Smith","Sir James Edward",1785-07-29,"29 Jul 1785","Bungay, Suffolk","","GB-110/JES/ADD/115, The Linnean Society of London","eng","","LINNEAN19.xml"
LINNEAN20,"Wray","Robert","Smith","Sir James Edward",1822-12-15,"15 Dec 1822","London","","GB-110/JES/ADD/116, The Linnean Society of London","eng","","LINNEAN20.xml"
LINNEAN21,"Clough","J","Smith","Sir James Edward",1813-08-05,"5 Aug 1813","Salterton, Devon","London","GB-110/JES/ADD/12, The Linnean Society of London","eng","","LINNEAN21.xml"
LINNEAN22,"Coyte","William Beeston","Smith","Sir James Edward",1807-01-05,"5 Jan [1807]","Ipswich, Suffolk","Norwich, Norfolk","GB-110/JES/ADD/13, The Linnean Society of London","eng","","LINNEAN22.xml"
LINNEAN23,"Crèvecoeur","Jules Armand Guillaume Boucher de","Smith","Sir James Edward",1806-04-20,"20 Apr 1806","Abbeville, France","","GB-110/JES/ADD/14, The Linnean Society of London","fre","","LINNEAN23.xml"
LINNEAN24,"Davies","Hugh","Smith","Sir James Edward",1799-11-14,"14 Nov 1799","Abergwyngregyn, Wales","Norwich, Norfolk","GB-110/JES/ADD/15, The Linnean Society of London","eng","","LINNEAN24.xml"
LINNEAN25,"Desfontaines","René Louiche","Smith","Sir James Edward",1795-12-25,"[25 Dec 1795]","","","GB-110/JES/ADD/16, The Linnean Society of London","fre","","LINNEAN25.xml"
LINNEAN26,"Dickson","James","Smith","Sir James Edward",1800-03-18,"18 Mar 1800","London","Norwich, Norfolk","GB-110/JES/ADD/17, The Linnean Society of London","eng","","LINNEAN26.xml"
LINNEAN27,"Dickson","James","Smith","Sir James Edward",1801-11-17,"17 Nov 1801","London","","GB-110/JES/ADD/18, The Linnean Society of London","eng","","LINNEAN27.xml"
LINNEAN28,"Fischer","Friedrich Ernst Ludwig von","Smith","Sir James Edward",1813-07-09,"9 Jul 1813","Gorenki, Russia","","GB-110/JES/ADD/19, The Linnean Society of London","eng","","LINNEAN28.xml"
LINNEAN29,"Afzelius","Adam","Smith","Sir James Edward",1799-01-01,"[Jan 1799]","London","","GB-110/JES/ADD/2, The Linnean Society of London","eng","","LINNEAN29.xml"
LINNEAN30,"Fischer","Friedrich Ernst Ludwig von","Smith","Sir James Edward",1824-08-20,"20 Aug 1824","London","Norwich, Norfolk","GB-110/JES/ADD/20, The Linnean Society of London","eng","","LINNEAN30.xml"
LINNEAN31,"Fleming","John","Smith","Sir James Edward",1814-03-22,"22 Mar 1814","Fife, Fifeshire","","GB-110/JES/ADD/21, The Linnean Society of London","eng","","LINNEAN31.xml"
LINNEAN32,"Forster","Benjamin Meggot","Smith","Sir James Edward",1799-12-10,"10 Dec 1799","London","Norwich, Norfolk","GB-110/JES/ADD/22, The Linnean Society of London","eng","","LINNEAN32.xml"
LINNEAN33,"Forster","Benjamin Meggot","Smith","Sir James Edward",1802-12-18,"18 Dec 1802","","","GB-110/JES/ADD/23, The Linnean Society of London","eng","","LINNEAN33.xml"
LINNEAN34,"Forster","Benjamin Meggot","Smith","Sir James Edward",1821-05-22,"22 May 1821","Walthamstow, Middlesex","London","GB-110/JES/ADD/24, The Linnean Society of London","eng","","LINNEAN34.xml"
LINNEAN35,"Forster","Edward","Smith","Sir James Edward",1799-12-11,"11 Dec 1799","London","Norwich, Norfolk","GB-110/JES/ADD/25, The Linnean Society of London","eng","","LINNEAN35.xml"
LINNEAN36,"Forster","Edward","Smith","Sir James Edward",1823-11-24,"24 Nov 1823","London","Norwich, Norfolk","GB-110/JES/ADD/26, The Linnean Society of London","eng","","LINNEAN36.xml"
LINNEAN37,"Forster","Edward","Smith","Sir James Edward",1823-12-15,"15 Dec 1823","Hale End, Middlesex","","GB-110/JES/ADD/27, The Linnean Society of London","eng","","LINNEAN37.xml"
LINNEAN38,"Forster","Edward","Smith","Sir James Edward",1824-01-01,"1 Jan 1824","London","Norwich, Norfolk","GB-110/JES/ADD/28, The Linnean Society of London","eng","","LINNEAN38.xml"
LINNEAN39,"Forster","Edward","Smith","Sir James Edward",1824-11-05,"5 Nov 1824","Hale End, Middlesex","Norwich, Norfolk","GB-110/JES/ADD/29, The Linnean Society of London","eng","","LINNEAN39.xml"
LINNEAN40,"Beeke","Henry","Smith","Sir James Edward",1800-06-25,"25 Jun 1800","Upton, Berkshire","","GB-110/JES/ADD/3, The Linnean Society of London","eng","","LINNEAN40.xml"
LINNEAN41,"Francis","Robert Bransby","Smith","Sir James Edward",1814-04-20,"20 Apr 1814","Edgefield, Norfolk","","GB-110/JES/ADD/30, The Linnean Society of London","eng","","LINNEAN41.xml"
LINNEAN42,"Frankland","Sir Thomas","Smith","Sir James Edward",1800-04-21,"21 Apr 1800","London","Norwich, Norfolk","GB-110/JES/ADD/31, The Linnean Society of London","eng","","LINNEAN42.xml"
LINNEAN43,"Frankland","Sir Thomas","Smith","Sir James Edward",1800-07-10,"10 Jul 1800","Thirkleby, Yorkshire","Norwich, Norfolk","GB-110/JES/ADD/32, The Linnean Society of London","eng","","LINNEAN43.xml"
