id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
RS-LP-000001,"Leclerc","Georges Louis","Folkes","Martin",1741-07-18,"18 July 1741","","","L&P/1/1, Royal Society","","","RS-LP-000001.xml"
RS-MM-000001,"Liebig","Justus","Thudichum","JLW",1867-10-10,"10 October 1867","","","MM/1/1, Royal Society","","","RS-MM-000001.xml"
RS-LP-000002,"Bentinck","Charles","Folkes","Martin",1741-09-15,"15 September 1741","","","L&P/1/2, Royal Society","","","RS-LP-000002.xml"
RS-MM-000002,"Liebig","Justus","Thudichum","JLW",1868-06-01,"1 June 1868","","","MM/1/2, Royal Society","","","RS-MM-000002.xml"
RS-LP-000003,"Vigny","Pierre de","Sloane","Hans",1741-10-04,"04 October 1741","","","L&P/1/3, Royal Society","","","RS-LP-000003.xml"
RS-MM-000003,"Liebig","Justus","Thudichum","JLW",1869-08-08,"8 August 1869","","","MM/1/3, Royal Society","","","RS-MM-000003.xml"
RS-LP-000004,"Green","John","Mortimer","Cromwell",1741-10-04,"04 October 1741","","","L&P/1/11, Royal Society","","","RS-LP-000004.xml"
RS-MM-000004,"Liebig","Justus","Thudichum","LB",1870-03-06,"6 March 1870","","","MM/1/4, Royal Society","","","RS-MM-000004.xml"
RS-LP-000005,"Grive","Jean de la","Sloane","Hans",1741-01-01,"[1741]","","","L&P/1/13, Royal Society","","","RS-LP-000005.xml"
RS-MM-000005,"Davy","Humphry","Jacob","William",1820-07-04,"4 July 1820","","","MM/1/5, Royal Society","","","RS-MM-000005.xml"
RS-LP-000006,"Geekie","Alexander","Wray","Daniel",1941-01-01,"[1941]","","","L&P/1/14, Royal Society","","","RS-LP-000006.xml"
RS-MM-000006,"Howard","Luke","","",1841-03-26,"26 March 1841","","","MM/1/6, Royal Society","","","RS-MM-000006.xml"
RS-LP-000007,"Barlow","W","Stack","Thomas",1741-07-14,"14 July 1741","","","L&P/1/17, Royal Society","","","RS-LP-000007.xml"
RS-MM-000007,"Dalton","John","Gay-Lussac","Joseph Louis",1833-08-05,"5 Aug 1833","","","MM/1/7, Royal Society","","","RS-MM-000007.xml"
RS-MM-000008,"Dalton","John","Biot","Jean Baptiste",1833-08-05,"5 August 1833","","","MM/1/8, Royal Society","","","RS-MM-000008.xml"
RS-LP-000008,"Sloane","Hans","Royal Society","",1741-01-01,"[1741]","","","L&P/1/20, Royal Society","","","RS-LP-000008.xml"
RS-MM-000009,"Dalton","John","","",1835-07-14,"14 July 1835","","","MM/1/9, Royal Society","","","RS-MM-000009.xml"
RS-LP-000009,"Sloane","Hans","Folkes","Martin",1741-12-07,"07 December 1741","","","L&P/1/21, Royal Society","","","RS-LP-000009.xml"
RS-LP-000010,"Mason","Christopher","unknown recipient","",1741-12-28,"28 December 1741","","","L&P/1/29, Royal Society","","","RS-LP-000010.xml"
