id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
SOMERVILLE1,"Somerville","Mary","RAS","",1848-04-04,"4 Apr 1848","3 Chester Terrace, Chester Square","","Royal Astronomical Society","","","SOMERVILLE1.xml"
SOMERVILLE2,"Airy","George Biddell","Somerville","William?",1832-03-30,"30 Mar 1832","","","MSA 1 / 210, Dep. c. 369, Bod, MS","","","SOMERVILLE2.xml"
SOMERVILLE3,"Airy","George Biddell","Somerville","Mary",1848-07-08,"8 Jul 1848","","","MSA 1 / 211, Dep. c. 369, Bod, MS","","","SOMERVILLE3.xml"
SOMERVILLE4,"Airy","George Biddell","Pentland","Joseph Barclay?",1868-09-11,"11 Sep 1868","","","MSA 1 / 212, Dep. c. 369, Bod, MS","","","SOMERVILLE4.xml"
SOMERVILLE5,"Ampere","","Quetelet","",1826-09-15,"15 Sep 1826","","","MSA 1 / 217, Dep. c. 369, Bod, MS","","","SOMERVILLE5.xml"
SOMERVILLE6,"Arago","Francois","Somerville","Mary",1835-04-08,"8 Apr 1835","","hopital de chelsea, a chelsea pres de Londres","MSA 1 / 220, Dep. c. 369, Bod, MS","","","SOMERVILLE6.xml"
SOMERVILLE7,"Babbage","Charles","Somerville","Mary",1828-06-14,"14 Jun 1828","","","MSB1 / 228, Dep. c. 369, Bod, MS","","","SOMERVILLE7.xml"
SOMERVILLE8,"Babbage","Charles","Somerville","William",1830-09-02,"2 Sep 1830","","","MSB1 / 229, Dep. c. 369, Bod, MS","","","SOMERVILLE8.xml"
SOMERVILLE9,"Babbage","Charles","Somerville","Mary",1830-11-02,"2 Nov 1830","","","MSB1 / 230, Dep. c. 369, Bod, MS","","","SOMERVILLE9.xml"
SOMERVILLE10,"Babbage","Charles","Somerville","Mary",1831-02-27,"27 Feb 1831","","","MSB1 / 231, Dep. c. 369, Bod, MS","","","SOMERVILLE10.xml"
SOMERVILLE11,"Babbage","Charles","Somerville","William",1831-07-22,"22 Jul 1831","","","MSB1 / 233, Dep. c. 369, Bod, MS","","","SOMERVILLE11.xml"
