id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
TALBOT1,"Banks","William","Talbot","William Henry Fox",1861-01-01,"1861","","","","","","TALBOT1.xml"
TALBOT2,"Barclay","George","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT2.xml"
TALBOT3,"Awdry","William Henry","Talbot","William Henry Fox",1832-01-01,"1832","","","","","","TALBOT3.xml"
TALBOT4,"Blomfield","Arthur","Talbot","William Henry Fox",1861-01-01,"1861","","","","","","TALBOT4.xml"
TALBOT5,"Blomfield","Arthur","Talbot","William Henry Fox",1861-01-01,"1861","","","","","","TALBOT5.xml"
TALBOT6,"Fazakerley","née Montague, Eleanor","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT6.xml"
TALBOT7,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT7.xml"
TALBOT8,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1846-02-13,"13 Feb 1846","","","","","","TALBOT8.xml"
TALBOT9,"Talbot","William Henry Fox","Cole","née Fox Strangways, Mary Lucy",1815-01-20,"20 Jan 1815","","","","","","TALBOT9.xml"
TALBOT10,"Fitzmaurice","Henry Petty","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT10.xml"
TALBOT11,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1854-06-02,"2 Jun 1854","","","","","","TALBOT11.xml"
TALBOT12,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1841-12-14,"14 Dec 1841","","","","","","TALBOT12.xml"
TALBOT13,"Pim","James","Talbot","William Henry Fox",1841-01-01,"1841","","","","","","TALBOT13.xml"
TALBOT14,"Pusey","Philip","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT14.xml"
TALBOT15,"Murray","George","Talbot","William Henry Fox",1830-09-01,"Sep 1830","","","","","","TALBOT15.xml"
TALBOT16,"Digby","née Fox Strangways, Theresa Anna Maria","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT16.xml"
TALBOT17,"Jugenheim","Le Compte","Talbot","William Henry Fox",1827-01-10,"10 Jan 1827","","","","","","TALBOT17.xml"
TALBOT18,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1824-02-16,"16 Feb 1824","","","","","","TALBOT18.xml"
TALBOT19,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT19.xml"
TALBOT20,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1842-12-30,"30 Dec 1842","","","","","","TALBOT20.xml"
TALBOT21,"Talbot","Ela Theresa","Talbot","William Henry Fox",1870-08-01,"Aug 1870","","","","","","TALBOT21.xml"
TALBOT22,"Talbot","Ela Theresa","Talbot","William Henry Fox",1859-05-06,"6 May 1859","","","","","","TALBOT22.xml"
TALBOT23,"Talbot","William Henry Fox","Diamond","Hugh Welch",1855-01-01,"1855","","","","","","TALBOT23.xml"
TALBOT24,"Talbot","William Henry Fox","Trevelyan","Walter Calverley",1829-09-01,"Sep 1829","","","","","","TALBOT24.xml"
TALBOT25,"Talbot","William Henry Fox","Trevelyan","Walter Calverley",1800-01-01,"1800","","","","","","TALBOT25.xml"
TALBOT26,"Trevelyan","Walter Calverley","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT26.xml"
TALBOT27,"Banks","Alexander","Talbot","William Henry Fox",1864-04-05,"5 Apr 1864","","","","","","TALBOT27.xml"
TALBOT28,"Feilding","Charles","Talbot","William Henry Fox",1827-01-26,"26 Jan 1827","","","","","","TALBOT28.xml"
TALBOT29,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1842-01-01,"1842","","","","","","TALBOT29.xml"
TALBOT30,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1839-11-25,"25 Nov 1839","","","","","","TALBOT30.xml"
TALBOT31,"Haworth","Adrian Hardy","Talbot","William Henry Fox",1833-01-01,"1833","","","","","","TALBOT31.xml"
TALBOT32,"Ibbetson","Levett Landon Boscawen","Talbot","William Henry Fox",1842-03-01,"Mar 1842","","","","","","TALBOT32.xml"
TALBOT33,"Talbot","William Henry Fox","Talbot","Charles Henry",1860-04-20,"20 Apr 1860","","","","","","TALBOT33.xml"
TALBOT34,"Macdonald","Flora Isabella Clementina","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT34.xml"
TALBOT35,"Talbot","William Henry Fox","Talbot","Charles Henry",1868-04-29,"29 Apr 1868","","","","","","TALBOT35.xml"
TALBOT36,"Smith","George (2)","Talbot","William Henry Fox",1868-03-30,"30 Mar 1868","","","","","","TALBOT36.xml"
TALBOT37,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1846-02-02,"2 Feb 1846","","","","","","TALBOT37.xml"
TALBOT38,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT38.xml"
TALBOT39,"Franklen","née Talbot, Isabella Catherine","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT39.xml"
TALBOT40,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1824-02-16,"16 Feb 1824","","","","","","TALBOT40.xml"
TALBOT41,"Talbot","William Henry Fox","Babbage","Charles",1800-01-01,"1800","","","","","","TALBOT41.xml"
TALBOT42,"Worsley","Thomas","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT42.xml"
TALBOT43,"Unidentified","","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT43.xml"
TALBOT44,"Conyers","Timothy","Talbot","William Henry Fox",1829-02-21,"21 Feb 1829","","","","","","TALBOT44.xml"
TALBOT45,"Lindley","John","Talbot","William Henry Fox",1837-08-01,"Aug 1837","","","","","","TALBOT45.xml"
TALBOT46,"Long","Charles Edward","Talbot","William Henry Fox",1853-01-01,"1853","","","","","","TALBOT46.xml"
TALBOT47,"Nicholl","John","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT47.xml"
TALBOT48,"Nicholl","née Talbot, Jane Harriot","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT48.xml"
TALBOT49,"Norris","Edwin","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT49.xml"
TALBOT50,"Seymer","née Beckford, Harriet Ker","Talbot","William Henry Fox",1831-08-01,"Aug 1831","","","","","","TALBOT50.xml"
TALBOT51,"Cordero Di San Quintino Giulio Dei Conti","Jules De St Quintin","Talbot","William Henry Fox",1826-03-18,"18 Mar 1826","","","","","","TALBOT51.xml"
TALBOT52,"Talbot","William Henry Fox","Talbot","Charles Henry",1857-01-29,"29 Jan 1857","","","","","","TALBOT52.xml"
TALBOT53,"Talbot","William Henry Fox","Talbot","Charles Henry",1869-05-08,"8 May 1869","","","","","","TALBOT53.xml"
TALBOT54,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT54.xml"
TALBOT55,"Tait","Peter Guthrie","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT55.xml"
TALBOT56,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1875-01-23,"23 Jan 1875","","","","","","TALBOT56.xml"
TALBOT57,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1870-01-01,"1870","","","","","","TALBOT57.xml"
TALBOT58,"Talbot","William Henry Fox","Talbot","Charles Henry",1865-07-22,"22 Jul 1865","","","","","","TALBOT58.xml"
TALBOT59,"Worsley","Thomas","Talbot","William Henry Fox",1822-01-01,"1822","","","","","","TALBOT59.xml"
TALBOT60,"Baring","Alexander","Talbot","William Henry Fox",1829-01-01,"Jan 1829","","","","","","TALBOT60.xml"
TALBOT61,"Blomfield","Arthur","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT61.xml"
TALBOT62,"Butler","George","Talbot","William Henry Fox",1815-10-01,"Oct 1815","","","","","","TALBOT62.xml"
TALBOT63,"Awdry","West","Talbot","William Henry Fox",1840-02-06,"6 Feb 1840","","","","","","TALBOT63.xml"
TALBOT64,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1834-05-30,"30 May 1834","","","","","","TALBOT64.xml"
TALBOT65,"Awdry","West","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT65.xml"
TALBOT66,"Brougham","Henry Peter","Talbot","William Henry Fox",1845-05-15,"15 May 1845","","","","","","TALBOT66.xml"
TALBOT67,"Dalton","James","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT67.xml"
TALBOT68,"Langston","née Moreton, Julia Frances","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT68.xml"
TALBOT69,"Talbot","William Henry Fox","Talbot","Charles Henry",1869-02-21,"21 Feb 1869","","","","","","TALBOT69.xml"
TALBOT70,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1829-08-13,"13 Aug 1829","","","","","","TALBOT70.xml"
TALBOT71,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1836-05-12,"12 May 1836","","","","","","TALBOT71.xml"
TALBOT72,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT72.xml"
TALBOT73,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT73.xml"
TALBOT74,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1838-01-01,"1838","","","","","","TALBOT74.xml"
TALBOT75,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1825-01-01,"1825","","","","","","TALBOT75.xml"
TALBOT76,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1825-01-01,"1825","","","","","","TALBOT76.xml"
TALBOT77,"Munro","Benjamin","Talbot","William Henry Fox",1836-08-01,"Aug 1836","","","","","","TALBOT77.xml"
TALBOT78,"Murray","Amelina Matilda","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT78.xml"
TALBOT79,"Rogers","Robert","Talbot","William Henry Fox",1830-01-01,"1830","","","","","","TALBOT79.xml"
TALBOT80,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1857-08-27,"27 Aug 1857","","","","","","TALBOT80.xml"
TALBOT81,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT81.xml"
TALBOT82,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT82.xml"
TALBOT83,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT83.xml"
TALBOT84,"Talbot","Mary Thereza","Talbot","William Henry Fox",1840-01-01,"1840","","","","","","TALBOT84.xml"
TALBOT85,"Talbot","Rosamond Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT85.xml"
TALBOT86,"Talbot","Rosamond Constance","Talbot","William Henry Fox",1867-06-01,"Jun 1867","","","","","","TALBOT86.xml"
TALBOT87,"Talbot","William Henry Fox","Grove","William Robert",1854-01-01,"1854","","","","","","TALBOT87.xml"
TALBOT88,"Talbot","William Henry Fox","Grove","William Robert",1854-01-01,"1854","","","","","","TALBOT88.xml"
TALBOT89,"Talbot","William Henry Fox","Grove","William Robert",1854-12-01,"Dec 1854","","","","","","TALBOT89.xml"
TALBOT90,"Awdry","William Henry","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT90.xml"
TALBOT91,"Beckett","William Thomas","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT91.xml"
TALBOT92,"Panizzi","Anthonio Genesio Maria","Talbot","William Henry Fox",1857-01-12,"12 Jan 1857","","","","","","TALBOT92.xml"
TALBOT93,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1816-06-01,"Jun 1816","","","","","","TALBOT93.xml"
TALBOT94,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1835-01-01,"1835","","","","","","TALBOT94.xml"
TALBOT95,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT95.xml"
TALBOT96,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1825-01-06,"6 Jan 1825","","","","","","TALBOT96.xml"
TALBOT97,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1839-10-01,"Oct 1839","","","","","","TALBOT97.xml"
TALBOT98,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1834-01-01,"1834","","","","","","TALBOT98.xml"
TALBOT99,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1825-01-01,"1825","","","","","","TALBOT99.xml"
TALBOT100,"Nicholl","née Talbot, Jane Harriot","Talbot","William Henry Fox",1864-01-01,"1864","","","","","","TALBOT100.xml"
TALBOT101,"Talbot","William Henry Fox","Smith","George (2)",1870-01-01,"1870","","","","","","TALBOT101.xml"
TALBOT102,"Talbot","Charles Henry","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT102.xml"
TALBOT103,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT103.xml"
TALBOT104,"Talbot","Mary Thereza","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT104.xml"
TALBOT105,"Talbot","Mary Thereza","Talbot","William Henry Fox",1847-10-01,"Oct 1847","","","","","","TALBOT105.xml"
TALBOT106,"Gilchrist-Clark","née Talbot, Matilda Caroline","Talbot","William Henry Fox",1850-05-01,"May 1850","","","","","","TALBOT106.xml"
TALBOT107,"Gilchrist-Clark","née Talbot, Matilda Caroline","Talbot","William Henry Fox",1858-07-20,"20 Jul 1858","","","","","","TALBOT107.xml"
TALBOT108,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1850-05-01,"May 1850","","","","","","TALBOT108.xml"
TALBOT109,"Dalton","James","Talbot","William Henry Fox",1816-01-01,"1816","","","","","","TALBOT109.xml"
TALBOT110,"Estcourt","Thomas Henry Sutton Sotheron Bucknall","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT110.xml"
TALBOT111,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT111.xml"
TALBOT112,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1837-07-01,"Jul 1837","","","","","","TALBOT112.xml"
TALBOT113,"Frampton","née Fox Strangways, Harriot Louisa","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT113.xml"
TALBOT114,"Feilding","née Fox Strangways, Elisabeth Theresa","Talbot","William Henry Fox",1833-02-18,"18 Feb 1833","","","","","","TALBOT114.xml"
TALBOT115,"Ibbetson","Levett Landon Boscawen","Talbot","William Henry Fox",1842-03-01,"Mar 1842","","","","","","TALBOT115.xml"
TALBOT116,"Truffaut","Louis Henri Joseph","Talbot","William Henry Fox",1843-07-14,"14 Jul 1843","","","","","","TALBOT116.xml"
TALBOT117,"Fitzmaurice","Henry Petty","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT117.xml"
TALBOT118,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1826-05-17,"17 May 1826","","","","","","TALBOT118.xml"
TALBOT119,"Children","John George","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT119.xml"
TALBOT120,"Ferrier","Claude Marie","Talbot","William Henry Fox",1860-01-01,"1860","","","","","","TALBOT120.xml"
TALBOT121,"Coddington","Henry","Talbot","William Henry Fox",1829-01-01,"1829","","","","","","TALBOT121.xml"
TALBOT122,"Philipon","Charles","Talbot","William Henry Fox",1846-06-24,"24 Jun 1846","","","","","","TALBOT122.xml"
TALBOT123,"Cole","née Fox Strangways, Mary Lucy","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT123.xml"
TALBOT124,"Cole","née Fox Strangways, Mary Lucy","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT124.xml"
TALBOT125,"Cole","née Fox Strangways, Mary Lucy","Talbot","William Henry Fox",1833-01-01,"1833","","","","","","TALBOT125.xml"
TALBOT126,"Cole","née Fox Strangways, Mary Lucy","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT126.xml"
TALBOT127,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT127.xml"
TALBOT128,"Nicholl","née Talbot, Jane Harriot","Talbot","William Henry Fox",1808-06-10,"10 Jun 1808","","","","","","TALBOT128.xml"
TALBOT129,"Hammersley","& Co","Talbot","William Henry Fox",1826-10-09,"9 Oct 1826","","","","","","TALBOT129.xml"
TALBOT130,"Ferrier","Claude Marie","Talbot","William Henry Fox",1860-01-01,"1860","","","","","","TALBOT130.xml"
TALBOT131,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT131.xml"
TALBOT132,"Franklen","née Talbot, Isabella Catherine","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT132.xml"
TALBOT133,"Talbot","William Henry Fox","Traherne","née Talbot, Charlotte Louisa",1835-06-02,"2 Jun 1835","","","","","","TALBOT133.xml"
TALBOT134,"Hooker","William Jackson","Talbot","William Henry Fox",1816-07-01,"Jul 1816","","","","","","TALBOT134.xml"
TALBOT135,"Campbell","née Kelly, Alicia","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT135.xml"
TALBOT136,"Kelland","Philip","Talbot","William Henry Fox",1870-01-01,"1870","","","","","","TALBOT136.xml"
TALBOT137,"Kelland","Philip","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT137.xml"
TALBOT138,"Nicholl","Edward Powell","Talbot","William Henry Fox",1867-12-08,"8 Dec 1867","","","","","","TALBOT138.xml"
TALBOT139,"Mansel","Rawleigh Addenbrooke","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT139.xml"
TALBOT140,"Moffat","John","Talbot","William Henry Fox",1865-01-01,"1865","","","","","","TALBOT140.xml"
TALBOT141,"Trelawney","Edward John","Talbot","William Henry Fox",1826-04-24,"24 Apr 1826","","","","","","TALBOT141.xml"
TALBOT142,"Murray","Amelina Matilda","Talbot","William Henry Fox",1835-10-01,"Oct 1835","","","","","","TALBOT142.xml"
TALBOT143,"Paley","James","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT143.xml"
TALBOT144,"Sheepshanks","Richard","Talbot","William Henry Fox",1852-02-10,"10 Feb 1852","","","","","","TALBOT144.xml"
TALBOT145,"Sheepshanks","Richard","Talbot","William Henry Fox",1852-01-01,"Jan 1852","","","","","","TALBOT145.xml"
TALBOT146,"Strangways","John George Charles Fox","Talbot","William Henry Fox",1800-01-01,"1800","","","","","","TALBOT146.xml"
TALBOT147,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1839-01-01,"1839","","","","","","TALBOT147.xml"
TALBOT148,"Llewelyn","née Talbot, Emma Thomasina","Talbot","William Henry Fox",1824-06-11,"11 Jun 1824","","","","","","TALBOT148.xml"
TALBOT149,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1824-12-01,"Dec 1824","","","","","","TALBOT149.xml"
TALBOT150,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1836-01-01,"1836","","","","","","TALBOT150.xml"
